drug_id,protein_id,interaction
D02911,P02911,1
D02912,P02912,0
D02913,P02913,1
D02914,P02914,0
D02915,P02915,1
D02916,P02916,0
D02917,P02917,1
D02918,P02918,0
D02919,P02919,1
D02920,P02920,0
D02921,P02921,1
D02922,P02922,0
D02923,P02923,1
D02924,P02924,0
D02925,P02925,1
D02926,P02926,0
D02927,P02927,1
D02928,P02928,0
D02929,P02929,0
D02930,P02930,1
D02931,P02931,0
D02932,P02932,1
D02933,P02933,0
D02934,P02934,1
D02935,P02935,0
D02936,P02936,1
D02937,P02937,0
D02938,P02938,1
D02939,P02939,0
D02940,P02940,1
D02941,P02941,0
D02942,P02942,1
D02943,P02943,0
D02944,P02944,1
D02945,P02945,1
D02946,P02946,0
D02947,P02947,1
D02948,P02948,0
D02949,P02949,1
D02950,P02950,0
D02951,P02951,1
D02952,P02952,0
D02953,P02953,1
D02954,P02954,0
D02955,P02955,1
D02956,P02956,0
D02957,P02957,1
D02958,P02958,0
D02959,P02959,1
D02960,P02960,0
D02961,P02961,1
D02962,P02962,0
D02963,P02963,1
D02964,P02964,0
D02965,P02965,1
D02966,P02966,0
D02967,P02967,1
D02968,P02968,0
D02969,P02969,1
D02970,P02970,0
D02971,P02971,1
D02972,P02972,0
D02973,P02973,1
D02974,P02974,0
D02975,P02975,1
D02976,P02976,0
D02977,P02977,1
D02978,P02978,0
D02979,P02979,1
D02980,P02980,0
D02981,P02981,1
D02982,P02982,0
D02983,P02983,1
D02984,P02984,0
D02985,P02985,1
D02986,P02986,1
D02987,P02987,0
D02988,P02988,1
D02989,P02989,0
D02990,P02990,1
D02991,P02991,0
D02992,P02992,1
D02993,P02993,0
D02994,P02994,1
D02995,P02995,0
D02996,P02996,1
D02997,P02997,0
D02998,P02998,1
D02999,P02999,0
D03000,P03000,1
D03001,P03001,0
D03002,P03002,1
D03003,P03003,0
D03004,P03004,1
D03005,P03005,0
D03006,P03006,1
D03007,P03007,0
D03008,P03008,1
D03009,P03009,0
D03010,P03010,1
D03011,P03011,0
D03012,P03012,1
D03013,P03013,0
D03014,P03014,1
D03015,P03015,0
D03016,P03016,1
D03017,P03017,0
D03018,P03018,1
D03019,P03019,0
D03020,P03020,1
D03021,P03021,0
D03022,P03022,1
D03023,P03023,0
D03024,P03024,1
D03025,P03025,0
D03026,P03026,1
D03027,P03027,0
D03028,P03028,1
D03029,P03029,0
D03030,P03030,1
D03031,P03031,0
D03032,P03032,1
D03033,P03033,0
D03034,P03034,1
D03035,P03035,0
D03036,P03036,1
D03037,P03037,0
D03038,P03038,1
D03039,P03039,0
D03040,P03040,1
D03041,P03041,0
D03042,P03042,1
D03043,P03043,0
D03044,P03044,1
D03045,P03045,0
D03046,P03046,1
D03047,P03047,0
D03048,P03048,1
D03049,P03049,0
D03050,P03050,1
D03051,P03051,0
D03052,P03052,1
D03053,P03053,0
D03054,P03054,1
D03055,P03055,0
D03056,P03056,1
D03057,P03057,0
D03058,P03058,1
D03059,P03059,0
D03060,P03060,1
D03061,P03061,0
D03062,P03062,1
D03063,P03063,0
D03064,P03064,1
D03065,P03065,0
D03066,P03066,1
D03067,P03067,0
D03068,P03068,1
D03069,P03069,0
D03070,P03070,1
D03071,P03071,0
D03072,P03072,1
D03073,P03073,0
D03074,P03074,1
D03075,P03075,0
D03076,P03076,1
D03077,P03077,1
D03078,P03078,0
D03079,P03079,1
D03080,P03080,0
D03081,P03081,1
D03082,P03082,0
D03083,P03083,1
D03084,P03084,0
D03085,P03085,1
D03086,P03086,0
D03087,P03087,1
D03088,P03088,0
D03089,P03089,1
D03090,P03090,0
D03091,P03091,1
D03092,P03092,0
D03093,P03093,1
D03094,P03094,0
D03095,P03095,1
D03096,P03096,0
D03097,P03097,1
D03098,P03098,0
D03099,P03099,1
D03100,P03100,0
D03101,P03101,1
D03102,P03102,0
D03103,P03103,1
D03104,P03104,0
D03105,P03105,1
D03106,P03106,0
D03107,P03107,1
D03108,P03108,0
D03109,P03109,1
D03110,P03110,0
D03111,P03111,1
D03112,P03112,0
D03113,P03113,1
D03114,P03114,0
D03115,P03115,0
D03116,P03116,1
D03117,P03117,0
D03118,P03118,1
D03119,P03119,0
D03120,P03120,1
D03121,P03121,0
D03122,P03122,1
D03123,P03123,0
D03124,P03124,1
D03125,P03125,0
D03126,P03126,1
D03127,P03127,0
D03128,P03128,1
D03129,P03129,0
D03130,P03130,1
D03131,P03131,0
D03132,P03132,1
D03133,P03133,0
D03134,P03134,1
D03135,P03135,0
D03136,P03136,1
D03137,P03137,0
D03138,P03138,1
D03139,P03139,0
D03140,P03140,1
D03141,P03141,0
D03142,P03142,1
D03143,P03143,0
D03144,P03144,1
D03145,P03145,0
D03146,P03146,1
D03147,P03147,0
D03148,P03148,1
D03149,P03149,0
D03150,P03150,1
D03151,P03151,0
D03152,P03152,1
D03153,P03153,0
D03154,P03154,1
D03155,P03155,0
D03156,P03156,1
D03157,P03157,0
D03158,P03158,1
D03159,P03159,0
D03160,P03160,1
D03161,P03161,0
D03162,P03162,1
D03163,P03163,0
D03164,P03164,1
D03165,P03165,0
D03166,P03166,1
D03167,P03167,0
D03168,P03168,1
D03169,P03169,0
D03170,P03170,1
D03171,P03171,0
D03172,P03172,1
D03173,P03173,0
D03174,P03174,1
D03175,P03175,0
D03176,P03176,1
D03177,P03177,0
D03178,P03178,1
D03179,P03179,0
D03180,P03180,1
D03181,P03181,0
D03182,P03182,1
D03183,P03183,0
D03184,P03184,1
D03185,P03185,0
D03186,P03186,1
D03187,P03187,0
D03188,P03188,1
D03189,P03189,0
D03190,P03190,1
D03191,P03191,0
D03192,P03192,1
D03193,P03193,0
D03194,P03194,1
D03195,P03195,0
D03196,P03196,1
D03197,P03197,0
D03198,P03198,1
D03199,P03199,0
D03200,P03200,1
D03201,P03201,0
D03202,P03202,1
D03203,P03203,0
D03204,P03204,1
D03205,P03205,0
D03206,P03206,1
D03207,P03207,1
D03208,P03208,0
D03209,P03209,1
D03210,P03210,0
D03211,P03211,1
D03212,P03212,0
D03213,P03213,1
D03214,P03214,0
D03215,P03215,1
D03216,P03216,0
D03217,P03217,1
D03218,P03218,0
D03219,P03219,1
D03220,P03220,0
D03221,P03221,1
D03222,P03222,0
D03223,P03223,1
D03224,P03224,0
D03225,P03225,1
D03226,P03226,0
D03227,P03227,1
D03228,P03228,0
D03229,P03229,1
D03230,P03230,0
D03231,P03231,1
D03232,P03232,0
D03233,P03233,1
D03234,P03234,1
D03235,P03235,0
D03236,P03236,1
D03237,P03237,0
D03238,P03238,1
D03239,P03239,0
D03240,P03240,0
D03241,P03241,1
D03242,P03242,0
D03243,P03243,1
D03244,P03244,0
D03245,P03245,1
D03246,P03246,0
D03247,P03247,1
D03248,P03248,0
D03249,P03249,1
D03250,P03250,0
D03251,P03251,1
D03252,P03252,0
D03253,P03253,1
D03254,P03254,0
D03255,P03255,1
D03256,P03256,0
D03257,P03257,1
D03258,P03258,0
D03259,P03259,1
D03260,P03260,0
D03261,P03261,1
D03262,P03262,0
D03263,P03263,1
D03264,P03264,0
D03265,P03265,1
D03266,P03266,0
D03267,P03267,1
D03268,P03268,0
D03269,P03269,1
D03270,P03270,0
D03271,P03271,1
D03272,P03272,0
D03273,P03273,1
D03274,P03274,0
D03275,P03275,1
D03276,P03276,0
D03277,P03277,1
D03278,P03278,0
D03279,P03279,1
D03280,P03280,0
D03281,P03281,1
D03282,P03282,0
D03283,P03283,1
D03284,P03284,0
D03285,P03285,1
D03286,P03286,0
D03287,P03287,1
D03288,P03288,0
D03289,P03289,1
D03290,P03290,0
D03291,P03291,1
D03292,P03292,0
D03293,P03293,1
D03294,P03294,0
D03295,P03295,1
D03296,P03296,0
D03297,P03297,1
D03298,P03298,0
D03299,P03299,1
D03300,P03300,0
D03301,P03301,1
D03302,P03302,0
D03303,P03303,1
D03304,P03304,0
D03305,P03305,1
D03306,P03306,0
D03307,P03307,1
D03308,P03308,0
D03309,P03309,1
D03310,P03310,0
D03311,P03311,1
D03312,P03312,0
D03313,P03313,1
D03314,P03314,0
D03315,P03315,1
D03316,P03316,0
D03317,P03317,1
D03318,P03318,0
D03319,P03319,1
D03320,P03320,0
D03321,P03321,1
D03322,P03322,0
D03323,P03323,1
D03324,P03324,0
D03325,P03325,1
D03326,P03326,0
D03327,P03327,1
D03328,P03328,0
D03329,P03329,1
D03330,P03330,0
D03331,P03331,1
D03332,P03332,0
D03333,P03333,1
D03334,P03334,0
D03335,P03335,1
D03336,P03336,0
D03337,P03337,1
D03338,P03338,0
D03339,P03339,1
D03340,P03340,0
D03341,P03341,1
D03342,P03342,0
D03343,P03343,1
D03344,P03344,0
D03345,P03345,1
D03346,P03346,0
D03347,P03347,1
D03348,P03348,0
D03349,P03349,1
D03350,P03350,0
D03351,P03351,1
D03352,P03352,0
D03353,P03353,1
D03354,P03354,0
D03355,P03355,1
D03356,P03356,0
D03357,P03357,1
D03358,P03358,0
D03359,P03359,1
D03360,P03360,0
D03361,P03361,1
D03362,P03362,0
D03363,P03363,1
D03364,P03364,0
D03365,P03365,1
D03366,P03366,0
D03367,P03367,1
D03368,P03368,0
D03369,P03369,1
D03370,P03370,0
D03371,P03371,1
D03372,P03372,0
D03373,P03373,1
D03374,P03374,0
D03375,P03375,1
D03376,P03376,1
D03377,P03377,0
D03378,P03378,1
D03379,P03379,0
D03380,P03380,1
D03381,P03381,0
D03382,P03382,1
D03383,P03383,0
D03384,P03384,1
D03385,P03385,0
D03386,P03386,1
D03387,P03387,0
D03388,P03388,1
D03389,P03389,0
D03390,P03390,1
D03391,P03391,0
D03392,P03392,1
D03393,P03393,0
D03394,P03394,1
D03395,P03395,0
D03396,P03396,1
D03397,P03397,0
D03398,P03398,1
D03399,P03399,0
D03400,P03400,1
D03401,P03401,0
D03402,P03402,1
D03403,P03403,0
D03404,P03404,1
D03405,P03405,0
D03406,P03406,1
D03407,P03407,0
D03408,P03408,1
D03409,P03409,0
D03410,P03410,1
D03411,P03411,0
D03412,P03412,1
D03413,P03413,0
D03414,P03414,1
D03415,P03415,0
D03416,P03416,1
D03417,P03417,0
D03418,P03418,1
D03419,P03419,0
D03420,P03420,1
D03421,P03421,0
D03422,P03422,1
D03423,P03423,0
D03424,P03424,1
D03425,P03425,0
D03426,P03426,1
D03427,P03427,0
D03428,P03428,1
D03429,P03429,0
D03430,P03430,1
D03431,P03431,0
D03432,P03432,0
D03433,P03433,1
D03434,P03434,0
D03435,P03435,0
D03436,P03436,1
D03437,P03437,0
D03438,P03438,0
D03439,P03439,1
D03440,P03440,0
D03441,P03441,1
D03442,P03442,0
D03443,P03443,1
D03444,P03444,0
D03445,P03445,0
D03446,P03446,1
D03447,P03447,0
D03448,P03448,1
D03449,P03449,0
D03450,P03450,1
D03451,P03451,0
D03452,P03452,1
D03453,P03453,0
D03454,P03454,1
D03455,P03455,0
D03456,P03456,1
D03457,P03457,0
D03458,P03458,1
D03459,P03459,0
D03460,P03460,1
D03461,P03461,0
D03462,P03462,1
D03463,P03463,0
D03464,P03464,1
D03465,P03465,0
D03466,P03466,1
D03467,P03467,0
D03468,P03468,1
D03469,P03469,0
D03470,P03470,1
D03471,P03471,0
D03472,P03472,1
D03473,P03473,0
D03474,P03474,1
D03475,P03475,1
D03476,P03476,0
D03477,P03477,1
D03478,P03478,0
D03479,P03479,1
D03480,P03480,0
D03481,P03481,1
D03482,P03482,0
D03483,P03483,1
D03484,P03484,0
D03485,P03485,1
D03486,P03486,0
D03487,P03487,1
D03488,P03488,0
D03489,P03489,1
D03490,P03490,0
D03491,P03491,1
D03492,P03492,0
D03493,P03493,1
D03494,P03494,0
D03495,P03495,1
D03496,P03496,0
D03497,P03497,1
D03498,P03498,0
D03499,P03499,1
D03500,P03500,0
D03501,P03501,1
D03502,P03502,0
D03503,P03503,1
D03504,P03504,0
D03505,P03505,1
D03506,P03506,0
D03507,P03507,1
D03508,P03508,0
D03509,P03509,1
D03510,P03510,0
D03511,P03511,1
D03512,P03512,0
D03513,P03513,1
D03514,P03514,0
D03515,P03515,1
D03516,P03516,0
D03517,P03517,1
D03518,P03518,0
D03519,P03519,1
D03520,P03520,0
D03521,P03521,1
D03522,P03522,0
D03523,P03523,1
D03524,P03524,0
D03525,P03525,1
D03526,P03526,0
D03527,P03527,1
D03528,P03528,0
D03529,P03529,1
D03530,P03530,0
D03531,P03531,1
D03532,P03532,0
D03533,P03533,1
D03534,P03534,0
D03535,P03535,1
D03536,P03536,0
D03537,P03537,1
D03538,P03538,0
D03539,P03539,1
D03540,P03540,0
D03541,P03541,1
D03542,P03542,0
D03543,P03543,1
D03544,P03544,0
D03545,P03545,1
D03546,P03546,0
D03547,P03547,1
D03548,P03548,0
D03549,P03549,1
D03550,P03550,0
D03551,P03551,1
D03552,P03552,0
D03553,P03553,1
D03554,P03554,0
D03555,P03555,1
D03556,P03556,0
D03557,P03557,1
D03558,P03558,0
D03559,P03559,1
D03560,P03560,0
D03561,P03561,1
D03562,P03562,0
D03563,P03563,1
D03564,P03564,0
D03565,P03565,1
D03566,P03566,0
D03567,P03567,1
D03568,P03568,0
D03569,P03569,1
D03570,P03570,0
D03571,P03571,1
D03572,P03572,0
D03573,P03573,1
D03574,P03574,0
D03575,P03575,1
D03576,P03576,0
D03577,P03577,1
D03578,P03578,0
D03579,P03579,1
D03580,P03580,0
D03581,P03581,1
D03582,P03582,0
D03583,P03583,1
D03584,P03584,0
D03585,P03585,1
D03586,P03586,0
D03587,P03587,1
D03588,P03588,0
D03589,P03589,1
D03590,P03590,0
D03591,P03591,1
D03592,P03592,0
D03593,P03593,1
D03594,P03594,0
D03595,P03595,1
D03596,P03596,0
D03597,P03597,1
D03598,P03598,1
D03599,P03599,0
D03600,P03600,1
D03601,P03601,0
D03602,P03602,1
D03603,P03603,0
D03604,P03604,1
D03605,P03605,0
D03606,P03606,1
D03607,P03607,0
D03608,P03608,1
D03609,P03609,0
D03610,P03610,1
D03611,P03611,0
D03612,P03612,1
D03613,P03613,0
D03614,P03614,1
D03615,P03615,0
D03616,P03616,1
D03617,P03617,0
D03618,P03618,1
D03619,P03619,0
D03620,P03620,1
D03621,P03621,0
D03622,P03622,1
D03623,P03623,0
D03624,P03624,1
D03625,P03625,0
D03626,P03626,1
D03627,P03627,0
D03628,P03628,1
D03629,P03629,0
D03630,P03630,1
D03631,P03631,0
D03632,P03632,1
D03633,P03633,0
D03634,P03634,1
D03635,P03635,0
D03636,P03636,1
D03637,P03637,0
D03638,P03638,1
D03639,P03639,0
D03640,P03640,1
D03641,P03641,0
D03642,P03642,1
D03643,P03643,0
D03644,P03644,1
D03645,P03645,0
D03646,P03646,1
D03647,P03647,0
D03648,P03648,1
D03649,P03649,0
D03650,P03650,1
D03651,P03651,0
D03652,P03652,1
D03653,P03653,0
D03654,P03654,1
D03655,P03655,0
D03656,P03656,1
D03657,P03657,0
D03658,P03658,1
D03659,P03659,0
D03660,P03660,1
D03661,P03661,0
D03662,P03662,1
D03663,P03663,0
D03664,P03664,1
D03665,P03665,0
D03666,P03666,1
D03667,P03667,0
D03668,P03668,1
D03669,P03669,0
D03670,P03670,1
D03671,P03671,0
D03672,P03672,1
D03673,P03673,0
D03674,P03674,1
D03675,P03675,0
D03676,P03676,1
D03677,P03677,0
D03678,P03678,1
D03679,P03679,0
D03680,P03680,1
D03681,P03681,0
D03682,P03682,1
D03683,P03683,0
D03684,P03684,1
D03685,P03685,0
D03686,P03686,1
D03687,P03687,0
D03688,P03688,1
D03689,P03689,0
D03690,P03690,1
D03691,P03691,0
D03692,P03692,1
D03693,P03693,0
D03694,P03694,1
D03695,P03695,0
D03696,P03696,1
D03697,P03697,0
D03698,P03698,1
D03699,P03699,0
D03700,P03700,1
D03701,P03701,0
D03702,P03702,1
D03703,P03703,0
D03704,P03704,1
D03705,P03705,0
D03706,P03706,1
D03707,P03707,0
D03708,P03708,1
D03709,P03709,0
D03710,P03710,1
D03711,P03711,0
D03712,P03712,1
D03713,P03713,0
D03714,P03714,1
D03715,P03715,0
D03716,P03716,1
D03717,P03717,0
D03718,P03718,1
D03719,P03719,0
D03720,P03720,1
D03721,P03721,0
D03722,P03722,1
D03723,P03723,0
D03724,P03724,1
D03725,P03725,0
D03726,P03726,1
D03727,P03727,0
D03728,P03728,1
D03729,P03729,0
D03730,P03730,1
D03731,P03731,0
D03732,P03732,1
D03733,P03733,0
D03734,P03734,1
D03735,P03735,0
D03736,P03736,1
D03737,P03737,0
D03738,P03738,1
D03739,P03739,0
D03740,P03740,1
D03741,P03741,0
D03742,P03742,1
D03743,P03743,0
D03744,P03744,1
D03745,P03745,0
D03746,P03746,1
D03747,P03747,0
D03748,P03748,1
D03749,P03749,0
D03750,P03750,1
D03751,P03751,0
D03752,P03752,1
D03753,P03753,0
D03754,P03754,1
D03755,P03755,0
D03756,P03756,1
D03757,P03757,0
D03758,P03758,1
D03759,P03759,0
D03760,P03760,1
D03761,P03761,0
D03762,P03762,1
D03763,P03763,0
D03764,P03764,1
D03765,P03765,0
D03766,P03766,1
D03767,P03767,0
D03768,P03768,1
D03769,P03769,0
D03770,P03770,1
D03771,P03771,0
D03772,P03772,1
D03773,P03773,0
D03774,P03774,1
D03775,P03775,0
D03776,P03776,1
D03777,P03777,0
D03778,P03778,1
D03779,P03779,0
D03780,P03780,1
D03781,P03781,0
D03782,P03782,1
D03783,P03783,0
D03784,P03784,1
D03785,P03785,0
D03786,P03786,1
D03787,P03787,0
D03788,P03788,1
D03789,P03789,0
D03790,P03790,1
D03791,P03791,0
D03792,P03792,1
D03793,P03793,0
D03794,P03794,1
D03795,P03795,0
D03796,P03796,1
D03797,P03797,0
D03798,P03798,1
D03799,P03799,0
D03800,P03800,1
D03801,P03801,0
D03802,P03802,1
D03803,P03803,0
D03804,P03804,1
D03805,P03805,0
D03806,P03806,1
D03807,P03807,0
D03808,P03808,1
D03809,P03809,0
D03810,P03810,1
D03811,P03811,0
D03812,P03812,1
D03813,P03813,0
D03814,P03814,1
D03815,P03815,0
D03816,P03816,1
D03817,P03817,0
D03818,P03818,1
D03819,P03819,0
D03820,P03820,1
D03821,P03821,0
D03822,P03822,1
D03823,P03823,0
D03824,P03824,1
D03825,P03825,0
D03826,P03826,1
D03827,P03827,0
D03828,P03828,1
D03829,P03829,0
D03830,P03830,1
D03831,P03831,0
D03832,P03832,1
D03833,P03833,0
D03834,P03834,1
D03835,P03835,0
D03836,P03836,1
D03837,P03837,0
D03838,P03838,1
D03839,P03839,0
D03840,P03840,1
D03841,P03841,0
D03842,P03842,0
D03843,P03843,1
D03844,P03844,0
D03845,P03845,1
D03846,P03846,0
D03847,P03847,1
D03848,P03848,0
D03849,P03849,1
D03850,P03850,0
D03851,P03851,1
D03852,P03852,0
D03853,P03853,1
D03854,P03854,0
D03855,P03855,1
D03856,P03856,0
D03857,P03857,1
D03858,P03858,0
D03859,P03859,1
D03860,P03860,0
D03861,P03861,1
D03862,P03862,0
D03863,P03863,1
D03864,P03864,0
D03865,P03865,1
D03866,P03866,0
D03867,P03867,1
D03868,P03868,0
D03869,P03869,1
D03870,P03870,0
D03871,P03871,1
D03872,P03872,0
D03873,P03873,1
D03874,P03874,0
D03875,P03875,1
D03876,P03876,0
D03877,P03877,1
D03878,P03878,0
D03879,P03879,1
D03880,P03880,0
D03881,P03881,1
D03882,P03882,0
D03883,P03883,1
D03884,P03884,0
D03885,P03885,1
D03886,P03886,0
D03887,P03887,1
D03888,P03888,0
D03889,P03889,1
D03890,P03890,1
D03891,P03891,1
D03892,P03892,0
D03893,P03893,1
D03894,P03894,0
D03895,P03895,1
D03896,P03896,0
D03897,P03897,1
D03898,P03898,0
D03899,P03899,1
D03900,P03900,0
D03901,P03901,1
D03902,P03902,0
D03903,P03903,1
D03904,P03904,0
D03905,P03905,1
D03906,P03906,0
D03907,P03907,1
D03908,P03908,0
D03909,P03909,1
D03910,P03910,0
D03911,P03911,1
D03912,P03912,1
D03913,P03913,0
D03914,P03914,1
D03915,P03915,0
D03916,P03916,1
D03917,P03917,0
D03918,P03918,1
D03919,P03919,0
D03920,P03920,1
D03921,P03921,0
D03922,P03922,1
D03923,P03923,0
D03924,P03924,1
D03925,P03925,0
D03926,P03926,1
D03927,P03927,0
D03928,P03928,1
D03929,P03929,0
D03930,P03930,1
D03931,P03931,0
D03932,P03932,1
D03933,P03933,0
D03934,P03934,1
D03935,P03935,0
D03936,P03936,1
D03937,P03937,0
D03938,P03938,1
D03939,P03939,0
D03940,P03940,1
D03941,P03941,0
D03942,P03942,1
D03943,P03943,0
D03944,P03944,1
D03945,P03945,0
D03946,P03946,1
D03947,P03947,0
D03948,P03948,1
D03949,P03949,0
D03950,P03950,1
D03951,P03951,0
D03952,P03952,1
D03953,P03953,0
D03954,P03954,1
D03955,P03955,0
D03956,P03956,1
D03957,P03957,0
D03958,P03958,1
D03959,P03959,0
D03960,P03960,1
D03961,P03961,0
D03962,P03962,1
D03963,P03963,0
D03964,P03964,1
D03965,P03965,0
D03966,P03966,1
D03967,P03967,0
D03968,P03968,1
D03969,P03969,0
D03970,P03970,1
D03971,P03971,0
D03972,P03972,1
D03973,P03973,0
D03974,P03974,1
D03975,P03975,0
D03976,P03976,1
D03977,P03977,0
D03978,P03978,1
D03979,P03979,0
D03980,P03980,1
D03981,P03981,0
D03982,P03982,1
D03983,P03983,0
D03984,P03984,1
D03985,P03985,0
D03986,P03986,1
D03987,P03987,0
D03988,P03988,1
D03989,P03989,0
D03990,P03990,1
D03991,P03991,0
D03992,P03992,1
D03993,P03993,0
D03994,P03994,1
D03995,P03995,0
D03996,P03996,1
D03997,P03997,1
D03998,P03998,0
D03999,P03999,1
D04000,P04000,0
D04001,P04001,1
D04002,P04002,0
D04003,P04003,1
D04004,P04004,0
D04005,P04005,1
D04006,P04006,0
D04007,P04007,1
D04008,P04008,0
D04009,P04009,1
D04010,P04010,0
D04011,P04011,1
D04012,P04012,0
D04013,P04013,1
D04014,P04014,0
D04015,P04015,1
D04016,P04016,0
D04017,P04017,1
D04018,P04018,0
D04019,P04019,1
D04020,P04020,0
D04021,P04021,1
D04022,P04022,0
D04023,P04023,1
D04024,P04024,0
D04025,P04025,1
D04026,P04026,0
D04027,P04027,1
D04028,P04028,0
D04029,P04029,1
D04030,P04030,0
D04031,P04031,1
D04032,P04032,0
D04033,P04033,1
D04034,P04034,0
D04035,P04035,1
D04036,P04036,0
D04037,P04037,1
D04038,P04038,0
D04039,P04039,1
D04040,P04040,0
D04041,P04041,1
D04042,P04042,0
D04043,P04043,1
D04044,P04044,0
D04045,P04045,1
D04046,P04046,0
D04047,P04047,1
D04048,P04048,0
D04049,P04049,0
D04050,P04050,0
D04051,P04051,1
D04052,P04052,0
D04053,P04053,1
D04054,P04054,0
D04055,P04055,1
D04056,P04056,0
D04057,P04057,1
D04058,P04058,0
D04059,P04059,1
D04060,P04060,0
D04061,P04061,1
D04062,P04062,0
D04063,P04063,1
D04064,P04064,0
D04065,P04065,1
D04066,P04066,0
D04067,P04067,1
D04068,P04068,0
D04069,P04069,1
D04070,P04070,0
D04071,P04071,1
D04072,P04072,0
D04073,P04073,1
D04074,P04074,0
D04075,P04075,1
D04076,P04076,0
D04077,P04077,1
D04078,P04078,0
D04079,P04079,1
D04080,P04080,0
D04081,P04081,1
D04082,P04082,0
D04083,P04083,1
D04084,P04084,0
D04085,P04085,1
D04086,P04086,0
D04087,P04087,1
D04088,P04088,0
D04089,P04089,1
D04090,P04090,0
D04091,P04091,1
D04092,P04092,0
D04093,P04093,1
D04094,P04094,0
D04095,P04095,1
D04096,P04096,0
D04097,P04097,1
D04098,P04098,0
D04099,P04099,1
D04100,P04100,0
D04101,P04101,1
D04102,P04102,0
D04103,P04103,1
D04104,P04104,0
D04105,P04105,1
D04106,P04106,0
D04107,P04107,1
D04108,P04108,0
D04109,P04109,1
D04110,P04110,0
D04111,P04111,1
D04112,P04112,0
D04113,P04113,1
D04114,P04114,0
D04115,P04115,1
D04116,P04116,0
D04117,P04117,1
D04118,P04118,0
D04119,P04119,1
D04120,P04120,0
D04121,P04121,1
D04122,P04122,0
D04123,P04123,1
D04124,P04124,0
D04125,P04125,1
D04126,P04126,0
D04127,P04127,1
D04128,P04128,0
D04129,P04129,1
D04130,P04130,0
D04131,P04131,1
D04132,P04132,0
D04133,P04133,1
D04134,P04134,0
D04135,P04135,1
D04136,P04136,0
D04137,P04137,1
D04138,P04138,0
D04139,P04139,1
D04140,P04140,0
D04141,P04141,1
D04142,P04142,0
D04143,P04143,1
D04144,P04144,0
D04145,P04145,1
D04146,P04146,0
D04147,P04147,1
D04148,P04148,0
D04149,P04149,1
D04150,P04150,0
D04151,P04151,1
D04152,P04152,0
D04153,P04153,1
D04154,P04154,0
D04155,P04155,1
D04156,P04156,0
D04157,P04157,1
D04158,P04158,0
D04159,P04159,1
D04160,P04160,0
D04161,P04161,1
D04162,P04162,0
D04163,P04163,1
D04164,P04164,0
D04165,P04165,1
D04166,P04166,0
D04167,P04167,1
D04168,P04168,0
D04169,P04169,1
D04170,P04170,0
D04171,P04171,1
D04172,P04172,1
D04173,P04173,0
D04174,P04174,1
D04175,P04175,0
D04176,P04176,1
D04177,P04177,0
D04178,P04178,0
D04179,P04179,1
D04180,P04180,0
D04181,P04181,1
D04182,P04182,0
D04183,P04183,1
D04184,P04184,0
D04185,P04185,1
D04186,P04186,0
D04187,P04187,1
D04188,P04188,0
D04189,P04189,1
D04190,P04190,0
D04191,P04191,1
D04192,P04192,0
D04193,P04193,1
D04194,P04194,0
D04195,P04195,1
D04196,P04196,0
D04197,P04197,1
D04198,P04198,0
D04199,P04199,1
D04200,P04200,0
D04201,P04201,1
D04202,P04202,0
D04203,P04203,1
D04204,P04204,0
D04205,P04205,1
D04206,P04206,0
D04207,P04207,1
D04208,P04208,0
D04209,P04209,1
D04210,P04210,0
D04211,P04211,1
D04212,P04212,0
D04213,P04213,1
D04214,P04214,0
D04215,P04215,1
D04216,P04216,0
D04217,P04217,1
D04218,P04218,0
D04219,P04219,1
D04220,P04220,0
D04221,P04221,1
D04222,P04222,0
D04223,P04223,1
D04224,P04224,0
D04225,P04225,1
D04226,P04226,0
D04227,P04227,1
D04228,P04228,0
D04229,P04229,1
D04230,P04230,0
D04231,P04231,1
D04232,P04232,0
D04233,P04233,1
D04234,P04234,0
D04235,P04235,1
D04236,P04236,0
D04237,P04237,1
D04238,P04238,0
D04239,P04239,1
D04240,P04240,0
D04241,P04241,1
D04242,P04242,0
D04243,P04243,1
D04244,P04244,0
D04245,P04245,1
D04246,P04246,0
D04247,P04247,1
D04248,P04248,0
D04249,P04249,1
D04250,P04250,0
D04251,P04251,1
D04252,P04252,0
D04253,P04253,1
D04254,P04254,0
D04255,P04255,1
D04256,P04256,0
D04257,P04257,1
D04258,P04258,0
D04259,P04259,1
D04260,P04260,0
D04261,P04261,1
D04262,P04262,0
D04263,P04263,1
D04264,P04264,0
D04265,P04265,1
D04266,P04266,0
D04267,P04267,1
D04268,P04268,0
D04269,P04269,1
D04270,P04270,0
D04271,P04271,1
D04272,P04272,0
D04273,P04273,1
D04274,P04274,0
D04275,P04275,1
D04276,P04276,0
D04277,P04277,1
D04278,P04278,0
D04279,P04279,1
D04280,P04280,0
D04281,P04281,1
D04282,P04282,0
D04283,P04283,1
D04284,P04284,0
D04285,P04285,1
D04286,P04286,0
D04287,P04287,1
D04288,P04288,0
D04289,P04289,1
D04290,P04290,0
D04291,P04291,1
D04292,P04292,0
D04293,P04293,1
D04294,P04294,0
D04295,P04295,1
D04296,P04296,0
D04297,P04297,1
D04298,P04298,0
D04299,P04299,1
D04300,P04300,0
D04301,P04301,1
D04302,P04302,0
D04303,P04303,1
D04304,P04304,0
D04305,P04305,1
D04306,P04306,0
D04307,P04307,1
D04308,P04308,0
