protein_id,sequence
P01605,P68638
P01606,Q96Q40
P01607,P43005
P01608,P51692
P01609,P28908
P01610,P28222
P01611,P02747
P01612,P35367
P01613,P09848
P01614,P14867
P01615,P05193
P01616,P42971
P01617,P01589
P01618,P53848
P01619,P06737
P01620,P08913
P01621,P05165
P01622,P35348
P01623,P09172
P01624,P07550
P01625,Q4W8W1
P01626,P08908
P01627,Q6NSD4
P01628,P02818
P01629,P16455
P01630,P08908
P01631,P37062
P01632,Q8N1C3
P01633,P10636
P01634,O15554
P01635,P02751
P01636,P14867
P01637,P01584
P01638,Q12809
P01639,Q99720
P01640,P48637
P01641,P35368
P01642,Q99712
P01643,P04150
P01644,P13196
P01645,P0A7X3
P01646,P24046
P01647,P20648
P01648,P05129
P01649,P19793
P01650,Q9UHQ9
P01651,Q8N1C3
P01652,P10613
P01653,P27338
P01654,P34972
P01655,P08235
P01656,P45844
P01657,P04035
P01658,P35348
P01659,P35367
P01660,P0A3M6
P01661,P13945
P01662,P20815
P01663,P35462
P01664,Q54873
P01665,P08588
P01666,Q5T1J1
P01667,P28223
P01668,O31616
P01669,P09619
P01670,P00811
P01671,P35348
P01672,Q05586
P01673,P11387
P01674,P11586
P01675,P20711
P01676,P01589
P01677,Q72JJ3
P01678,P48443
P01679,P07202
P01680,Q13946
P01681,P50281
P01682,O95573
P01683,O14764
P01684,P49721
P01685,P23458
P01686,P33681
P01687,P16234
P01688,Q9BQB6
P01689,P08908
P01690,P62745
P01691,Q05486
P01692,P01023
P01693,P37231
P01694,Q89ZI2
P01695,Q01959
P01696,P23786
P01697,P23219
P01698,P02787
P01699,O43525
P01700,P07477
P01701,P28223
P01702,P43116
P01703,Q9UN88
P01704,P30531
P01705,A8MPY1
P01706,P05089
P01707,P23415
P01708,O76074
P01709,P03372
P01710,P18283
P01711,P18089
P01712,P22455
P01713,P16581
P01714,P40261
P01715,Q9RA47
P01716,Q9GZR5
P01717,Q9NY59
P01718,P17252
P01719,O95342
P01720,P0A953
P01721,P14416
P01722,Q92769
P01723,O95180
P01724,Q44532
P01725,Q05932
P01726,P54619
P01727,P23219
P01728,Q9BXA5
P01729,P00750
P01730,P61432
P01731,P41743
P01732,P0A7S3
P01733,P78334
P01734,P24024
P01735,Q14524
P01736,P02776
P01737,Q9H252
P01738,P0AC13
P01739,P13500
P01740,P33151
P01741,P0AD65
P01742,Q15274
P01743,O95190
P01744,P10826
P01745,Q8N1C3
P01746,P42261
P01747,Q8TCU5
P01748,P26676
P01749,P21397
P01750,P17181
P01751,Q9Y697
P01752,P98164
P01753,P14416
P01754,Q7L5Y9
P01755,P31645
P01756,P09884
P01757,P02763
P01758,Q15303
P01759,P23975
P01760,P06818
P01761,P24046
P01762,Q16775
P01763,P48169
P01764,P54646
P01765,Q99720
P01766,P02818
P01767,Q9ULC6
P01768,P48728
P01769,Q09428
P01770,P39086
P01771,P43681
P01772,Q9UMX2
P01773,P27815
P01774,P12676
P01775,P48443
P01776,P23975
P01777,O00591
P01778,P28222
P01779,Q04828
P01780,O75936
P01781,P21554
P01782,P78540
P01783,P07550
P01784,Q02763
P01785,P01024
P01786,P11473
P01787,P00748
P01788,P48169
P01789,P15260
P01790,Q02641
P01791,O75900
P01792,P08173
P01793,Q9BTZ2
P01794,P0A7R5
P01795,Q9UKV0
P01796,P27815
P01797,P10721
P01798,P35462
P01799,Q13427
P01800,P42345
P01801,P30044
P01802,P08172
P01803,Q8TED1
P01804,P25100
P01805,Q8RLY5
P01806,P23415
P01807,P28845
P01808,P14867
P01809,Q9Y600
P01810,Q13936
P01811,P05164
P01812,Q05655
P01813,Q8NFA2
P01814,P35354
P01815,P03200
P01816,P17252
P01817,P23945
P01818,Q02641
P01819,O60909
P01820,P14867
P01821,P05106
P01822,P04818
P01823,Q9Y5K3
P01824,P00734
P01825,Q47PU3
P01826,Q8N1C3
P01827,P45880
P01828,P28223
P01829,Q5T1J1
P01830,Q9UN88
P01831,P33151
P01832,P35367
P01833,P04181
P01834,P43088
P01835,P11021
P01836,P14679
P01837,P10875
P01838,O60674
P01839,P50747
P01840,P20309
P01841,P05121
P01842,P0AD68
P01843,P16581
P01844,P25100
P01845,P62937
P01846,P46098
P01847,P23469
P01848,P24530
P01849,P50416
P01850,P11229
P01851,P39086
P01852,P21430
P01853,P44345
P01854,P17174
P01855,Q96C36
P01856,P31644
P01857,P43115
P01858,Q12879
P01859,P36544
P01860,P35367
P01861,Q05932
P01862,Q9H244
P01863,Q7ZJM1
P01864,O14764
P01865,P19099
P01866,P08588
P01867,P51787
P01868,P35218
P01869,P05023
P01870,O14764
P01871,P08908
P01872,P14416
P01873,P00367
P01874,P22748
P01875,P49888
P01876,P35348
P01877,P34897
P01878,Q16445
P01879,P51812
P01880,P08912
P01881,P49765
P01882,P35348
P01883,P27695
P01884,Q9UPY5
P01885,Q86W47
P01886,P10620
P01887,P60880
P01888,Q75Y35
P01889,P18089
P01890,P14868
P01891,P08519
P01892,P52209
P01893,P16455
P01894,P34969
P01895,Q9NSD9
P01896,P28223
P01897,Q9Y233
P01898,P0AD63
P01899,P24232
P01900,Q01064
P01901,P72525
P01902,P09917
P01903,P09917
P01904,Q13131
P01905,P02746
P01906,P03372
P01907,P96558
P01908,P14867
P01909,P08069
P01910,Q92731
P01911,P02751
P01912,P31350
P01913,Q08289
P01914,P19652
P01915,P31644
P01916,P00390
P01917,P23786
P01918,Q9Y234
P01919,P11229
P01920,P08581
P01921,O15399
P01922,Q5JTZ9
P01923,P05771
P01924,P47989
P01925,Q16881
P01926,P14061
P01927,P41439
P01928,P52647
P01929,Q9NR96
P01930,P35346
P01931,P35348
P01932,P05164
P01933,P06241
P01934,P28223
P01935,P07003
P01936,P08149
P01937,Q9NR96
P01938,P34903
P01939,P20963
P01940,Q9UN88
P01941,Q5JVS0
P01942,Q12879
P01943,Q9NSD9
P01944,P48507
P01945,Q4U2R8
P01946,P41595
P01947,P16444
P01948,P28335
P01949,P33121
P01950,P04150
P01951,P04271
P01952,P18507
P01953,P48061
P01954,P21917
P01955,P05164
P01956,P41145
P01957,P08253
P01958,Q52437
P01959,P01730
P01960,P35367
P01961,O00459
P01962,P35348
P01963,P13922
P01964,Q15858
P01965,Q5XXA6
P01966,P35228
P01967,Q9NZV8
P01968,P06746
P01969,Q14721
P01970,P08506
P01971,Q9Y5Y6
P01972,P47869
P01973,P0ADY7
P01974,P35367
P01975,P08149
P01976,Q9BQB6
P01977,P30044
P01978,P07550
P01979,P48506
P01980,P07550
P01981,P41252
P01982,P0A7V8
P01983,P21890
P01984,P18089
P01985,P10902
P01986,Q9HCC0
P01987,P08373
P01988,Q9NR96
P01989,P13551
P01990,P35340
P01991,P08173
P01992,P28223
P01993,P05771
P01994,P00918
P01995,Q5JTZ9
P01996,P18314
P01997,Q9NXG6
P01998,P02818
P01999,P51681
P02000,P08172
P02001,P14868
P02002,P08173
P02003,P42336
P02004,P31644
P02005,P50406
P02006,P14416
P02007,P22888
P02008,P42685
P02009,P0A7Z4
P02010,P22607
P02011,P08172
P02012,P29034
P02013,P47869
P02014,P11168
P02015,Q8TE23
P02016,P02792
P02017,P20309
P02018,Q9UN88
P02019,P42262
P02020,O14646
P02021,P35367
P02022,P29317
P02023,P08912
P02024,P15153
P02025,P03886
P02026,P78334
P02027,P47869
P02028,P08506
P02029,P31644
P02030,P67775
P02031,P29074
P02032,Q12791
P02033,P55011
P02034,P22102
P02035,P30518
P02036,Q8WYK2
P02037,P78334
P02038,P08729
P02039,P34903
P02040,Q9Y691
P02041,P47869
P02042,P49585
P02043,P05023
P02044,P05089
P02045,P78334
P02046,P14920
P02047,P47898
P02048,P15538
P02049,P32754
P02050,P16435
P02051,P18089
P02052,P01106
P02053,P51512
P02054,P00183
P02055,P38435
P02056,Q9HCC0
P02057,P23975
P02058,Q14749
P02059,P06864
P02060,P08253
P02061,P24046
P02062,O75762
P02063,P35372
P02064,Q99735
P02065,P62714
P02066,P52209
P02067,Q13698
P02068,P77390
P02069,P46098
P02070,P42357
P02071,Q06432
P02072,P49257
P02073,Q8N1C3
P02074,P31040
P02075,P06276
P02076,P55263
P02077,P21728
P02078,P21430
P02079,P11229
P02080,O14649
P02081,P34903
P02082,Q86VB7
P02083,P61889
P02084,P28472
P02085,O95954
P02086,Q16445
P02087,P25021
P02088,P35520
P02089,P04234
P02090,Q16445
P02091,P00582
P02092,P30542
P02093,P17342
P02094,P08913
P02095,Q14032
P02096,P35968
P02097,P20963
P02098,Q75Y35
P02099,Q07699
P02100,P18505
P02101,P20963
P02102,P68366
P02103,P25815
P02104,P04818
P02105,Q07001
P02106,Q92769
P02107,P09252
P02108,O95573
P02109,Q9Y2D1
P02110,Q16620
P02111,P00748
P02112,P14416
P02113,P78417
P02114,P00367
P02115,P43155
P02116,Q01668
P02117,Q14654
P02118,P20309
P02119,Q9Y478
P02120,P14410
P02121,O00591
P02122,P09172
P02123,P01583
P02124,P39900
P02125,Q9Y5Y4
P02126,P21917
P02127,P07225
P02128,P11511
P02129,P35237
P02130,P08172
P02131,Q969G6
P02132,P17302
P02133,Q9NR33
P02134,Q9UN88
P02135,P28702
P02136,O94903
P02137,Q96RQ9
P02138,Q8TED1
P02139,Q13131
P02140,Q8XJ01
P02141,P11388
P02142,O43923
P02143,P01130
P02144,O76074
P02145,Q9NRF9
P02146,P19838
P02147,A2QLK4
P02148,Q49184
P02149,P51649
P02150,P46098
P02151,Q9L888
P02152,P50870
P02153,Q9RVD6
P02154,P48039
P02155,Q16665
P02156,P35462
P02157,P14867
P02158,P35348
P02159,P80404
P02160,Q06203
P02161,Q05940
P02162,Q07912
P02163,P21397
P02164,O60512
P02165,O14764
P02166,P12461
P02167,P28476
P02168,P05412
P02169,P14416
P02170,P37088
P02171,P31645
P02172,Q9P2J5
P02173,Q9ULZ9
P02174,P24300
P02175,P28223
P02176,O95190
P02177,Q8N1C3
P02178,Q9NS40
P02179,P07003
P02180,O60568
P02181,P00915
P02182,Q99456
P02183,Q05586
P02184,P17812
P02185,P49146
P02186,P61626
P02187,P11511
P02188,Q9Y285
P02189,P28472
P02190,P0A7Z4
P02191,P25100
P02192,Q13002
P02193,Q96SL4
P02194,P35348
P02195,P14867
P02196,Q9UK23
P02197,P28335
P02198,P36544
P02199,P18825
P02200,Q693P7
P02201,Q07001
P02202,Q8TED1
P02203,P20309
P02204,Q07699
P02205,Q8N1C3
P02206,P48651
P02207,O14764
P02208,P0AES6
P02209,P14416
P02210,P27797
P02211,O00555
P02212,Q9UDX4
P02213,P34903
P02214,Q16881
P02215,P07550
P02216,P51511
P02217,P08172
P02218,P09250
P02219,Q693P7
P02220,P16473
P02221,Q9H4B7
P02222,P17707
P02223,P0A7J6
P02224,Q06432
P02225,Q9NUB1
P02226,Q15080
P02227,P16234
P02228,P50135
P02229,P28476
P02230,P01133
P02231,Q99928
P02232,P08235
P02233,Q96RQ9
P02234,Q8IVL6
P02235,P08235
P02236,O94788
P02237,P21918
P02238,P02585
P02239,P20839
P02240,P43700
P02241,O95864
P02242,P17787
P02243,Q9UN88
P02244,O43772
P02245,P08908
P02246,P04004
P02247,Q9BYV1
P02248,P49763
P02249,P35354
P02250,Q8NFA2
P02251,P18089
P02252,P35367
P02253,P07947
P02254,P55017
P02255,O60512
P02256,O14842
P02257,P21917
P02258,P18825
P02259,P23141
P02260,P16220
P02261,P16870
P02262,Q8DNB6
P02263,Q9Y691
P02264,Q03181
P02265,Q14957
P02266,P08909
P02267,P00390
P02268,P80511
P02269,Q9UK17
P02270,P29972
P02271,P14625
P02272,P05091
P02273,P49788
P02274,P28472
P02275,P10620
P02276,P35968
P02277,Q69600
P02278,P00807
P02279,Q4W8W1
P02280,P50416
P02281,Q9NVH6
P02282,P48169
P02283,A9UF02
P02284,P35368
P02285,P10646
P02286,P35367
P02287,P30536
P02288,Q96A70
P02289,Q96SL4
P02290,P22557
P02291,P03200
P02292,P07550
P02293,P19099
P02294,P13866
P02295,P38435
P02296,P18505
P02297,P0AEK4
P02298,P13674
P02299,P20132
P02300,P10613
P02301,Q96NR8
P02302,P10415
P02303,P04070
P02304,Q99250
P02305,Q14957
P02306,P13498
P02307,P00439
P02308,Q89ZI2
P02309,O60656
P02310,Q9NR82
P02311,O14746
P02312,P35368
P02313,P06715
P02314,Q02641
P02315,P43681
P02316,P28223
P02317,P00438
P02318,P08908
P02319,P20333
P02320,P00352
P02321,Q86W47
P02322,Q15822
P02323,Q7L266
P02324,P48039
P02325,P62993
P02326,Q9NYX4
P02327,P00914
P02328,P06276
P02329,P23416
P02330,P35368
P02331,P10828
P02332,P09211
P02333,Q16665
P02334,O43526
P02335,Q9Y3R4
P02336,P28566
P02337,P00325
P02338,P28223
P02339,Q03154
P02340,P0A7U3
P02341,Q05655
P02342,P14416
P02343,Q8WY07
P02344,Q9Y2U5
P02345,P04150
P02346,P0AD68
P02347,P17302
P02348,P30874
P02349,P61626
P02350,P08913
P02351,P10276
P02352,P10721
P02353,O14788
P02354,Q72547
P02355,P15121
P02356,O00591
P02357,P13500
P02358,P35462
P02359,P0A8T7
P02360,P06276
P02361,P10912
P02362,P35367
P02363,P30085
P02364,P10613
P02365,P23434
P02366,P11229
P02367,P02918
P02368,P38038
P02369,Q9HCR9
P02370,P08908
P02371,P07741
P02372,P30556
P02373,P53608
P02374,Q12809
P02375,Q15759
P02376,P00811
P02377,P04054
P02378,Q8NER1
P02379,Q8IWT1
P02380,P47712
P02381,O15217
P02382,P47712
P02383,P15104
P02384,P62937
P02385,Q8WY07
P02386,P08253
P02387,P44469
P02388,P19838
P02389,P37747
P02390,P23219
P02391,P72525
P02392,P72525
P02393,Q6TME4
P02394,P22413
P02395,P00915
P02396,P39662
P02397,P08172
P02398,P07949
P02399,Q16445
P02400,P32239
P02401,P24228
P02402,P50135
P02403,Q9NYX4
P02404,P01375
P02405,Q05940
P02406,P24941
P02407,Q08493
P02408,P49286
P02409,Q9P0X4
P02410,Q9UGJ0
P02411,P11274
P02412,P04150
P02413,P11229
P02414,Q13698
P02415,Q05513
P02416,P76577
P02417,P35348
P02418,O14732
P02419,P26447
P02420,P13995
P02421,P28221
P02422,Q9NPA2
P02423,P50406
P02424,P14416
P02425,P49841
P02426,P28223
P02427,P28908
P02428,P30926
P02429,P45877
P02430,P28074
P02431,P06715
P02432,P98194
P02433,P35968
P02434,P21554
P02435,P11836
P02436,P00918
P02437,Q02643
P02438,Q32P28
P02439,O00763
P02440,Q8N1C3
P02441,P05452
P02442,P04181
P02443,P37747
P02444,P23219
P02445,P00363
P02446,P06276
P02447,P54368
P02448,O75469
P02449,O14920
P02450,P06864
P02451,P08172
P02452,P0AF12
P02453,Q96RD7
P02454,P08373
P02455,Q14749
P02456,P30613
P02457,Q06432
P02458,P32754
P02459,P23381
P02460,O43447
P02461,P20594
P02462,P09210
P02463,P35348
P02464,O95644
P02465,P51843
P02466,Q8NFA2
P02467,P14867
P02468,P03198
P02469,P35348
P02470,Q92781
P02471,P22888
P02472,P03372
P02473,P54750
P02474,P13551
P02475,Q07837
P02476,P22455
P02477,P29274
P02478,Q9UMX2
P02479,Q5JTZ9
P02480,P35372
P02481,Q14181
P02482,P28223
P02483,Q15822
P02484,P22303
P02485,P10745
P02486,P43681
P02487,Q9UBK8
P02488,P21917
P02489,Q16850
P02490,P14867
P02491,P28221
P02492,P10721
P02493,Q01668
P02494,P13674
P02495,Q9H306
P02496,P98164
P02497,Q96Q40
P02498,P20813
P02499,O43246
P02500,P14416
P02501,P22748
P02502,P08909
P02503,P34972
P02504,P49888
P02505,P49721
P02506,O60840
P02507,P0AD68
P02508,P0A7X3
P02509,Q16832
P02510,P28702
P02511,O75330
P02512,P48169
P02513,P33527
P02514,P08908
P02515,P35610
P02516,P06401
P02517,P30926
P02518,Q9Y5Y9
P02519,P24232
P02520,P35348
P02521,Q14432
P02522,P08912
P02523,O67854
P02524,P25021
P02525,P21397
P02526,P23219
P02527,Q27738
P02528,P31645
P02529,P77967
P02530,P51857
P02531,Q99707
P02532,P63316
P02533,P45452
P02534,P28221
P02535,Q9UK17
P02536,Q14534
P02537,P17117
P02538,Q14432
P02539,P09210
P02540,P30405
P02541,Q07699
P02542,P12314
P02543,Q03181
P02544,P46098
P02545,P15336
P02546,Q15125
P02547,P00480
P02548,P14324
P02549,P05121
P02550,Q9QNF7
P02551,P27815
P02552,Q27738
P02553,P18505
P02554,P34903
P02555,Q13564
P02556,P31645
P02557,P15538
P02558,P54284
P02559,P08709
P02560,Q9UM07
P02561,Q9BXJ7
P02562,P0AD68
P02563,P47712
P02564,P35462
P02565,P19480
P02566,Q9NY47
P02567,Q9Y2D1
P02568,Q9Y271
P02569,Q9UDX4
P02570,P07550
P02571,P22891
P02572,O43525
P02573,P27907
P02574,P14867
P02575,P01031
P02576,A9UF02
P02577,P33151
P02578,P11229
P02579,P14618
P02580,P18089
P02581,P09250
P02582,P08172
P02583,P05113
P02584,P35462
P02585,Q9NSD9
P02586,P04629
P02587,Q13258
P02588,P03372
P02589,Q14573
P02590,Q9P2R7
P02591,P30711
P02592,P22748
P02593,Q9NS18
P02594,Q9UN88
P02595,P30939
P02596,P31644
P02597,P07101
P02598,P05412
P02599,O43519
P02600,Q96C36
P02601,P37023
P02602,P31939
P02603,Q96LZ3
P02604,P35367
P02605,Q89ZI2
P02606,P11229
P02607,Q14626
P02608,P47870
P02609,P15336
P02610,P0AC13
P02611,P0A7R5
P02612,P28566
P02613,P12314
P02614,P08912
P02615,P02675
P02616,O60391
P02617,Q9ULW8
P02618,P24232
P02619,P51843
P02620,P08172
P02621,P54710
P02622,P78334
P02623,Q02156
P02624,P07550
P02625,P05106
P02626,O14764
P02627,P05556
P02628,P08912
P02629,P32297
P02630,P00519
P02631,Q9NR97
P02632,P35348
P02633,Q06203
P02634,P08912
P02635,Q9UKU7
P02636,P09884
P02637,P30518
P02638,P08519
P02639,Q02809
P02640,P28222
P02641,Q96EM0
P02642,P08908
P02643,Q9NPC2
P02644,P35348
P02645,P12461
P02646,Q8XJ01
P02647,P30711
P02648,P10276
P02649,P00367
P02650,Q05586
P02651,P03198
P02652,Q60FT7
P02653,P21728
P02654,P23743
P02655,P04150
P02656,P36969
P02657,Q14003
P02658,P31040
P02659,Q8TCT1
P02660,Q09428
P02661,Q9QNF7
P02662,P00918
P02663,P04049
P02664,Q12809
P02665,P43166
P02666,P31645
P02667,Q6UX15
P02668,P35368
P02669,Q00975
P02670,P28566
P02671,P27169
P02672,P35372
P02673,P12821
P02674,P47870
P02675,P10912
P02676,P08172
P02677,Q9L888
P02678,P08588
P02679,P05981
P02680,O75311
P02681,O60664
P02682,P04150
P02683,Q8N142
P02684,B0B3C9
P02685,P50052
P02686,Q72547
P02687,Q04844
P02688,Q9Y691
P02689,P08581
P02690,P08913
P02691,P28329
P02692,P21917
P02693,P06756
P02694,P0AD65
P02695,Q9NZK7
P02696,O60488
P02697,Q9UGI5
P02698,O60840
P02699,Q02817
P02700,P08913
P02701,P06400
P02702,P35367
P02703,Q01718
P02704,P13922
P02705,O25608
P02706,P42593
P02707,P06401
P02708,Q96Q83
P02709,P02649
P02710,P18089
P02711,O60568
P02712,O15399
P02713,P22303
P02714,P12236
P02715,Q99707
P02716,P34903
P02717,P51788
P02718,P30559
P02719,Q9ULW8
P02720,P08173
P02721,P17735
P02722,Q01959
P02723,P78508
P02724,P20309
P02725,P27907
P02726,P50406
P02727,P35368
P02728,P18505
P02729,P25092
P02730,P21397
P02731,Q6NUM9
P02732,P31644
P02733,P51172
P02734,Q07343
P02735,P06746
P02736,P12821
P02737,P11586
P02738,Q15822
P02739,P53608
P02740,P47870
P02741,P08069
P02742,P21917
P02743,P02751
P02744,P10253
P02745,Q9UGM1
P02746,Q888A4
P02747,P49763
P02748,P28335
P02749,Q9UJ70
P02750,P15692
P02751,P37063
P02752,P37088
P02753,Q07343
P02754,Q9UN88
P02755,P23258
P02756,P14416
P02757,P78362
P02758,P35367
P02759,P33121
P02760,P18505
P02761,P0AD65
P02762,P00748
P02763,P42971
P02764,Q9UN88
P02765,O14788
P02766,Q6N063
P02767,P04181
P02768,P35368
P02769,Q9H252
P02770,P23219
P02771,Q03431
P02772,P21918
P02773,P14207
P02774,P07814
P02775,O15528
P02776,P21728
P02777,P02751
P02778,P08908
P02779,Q16322
P02780,P47870
P02781,P52788
P02782,P28222
P02783,Q9Y2Q3
P02784,P51160
P02785,Q70KI2
P02786,P41143
P02787,P43115
P02788,P28566
P02789,Q14524
P02790,Q99928
P02791,Q6N063
P02792,P11137
P02793,P47870
P02794,P03372
P02795,O14594
P02796,P00519
P02797,Q9NS85
P02798,Q03013
P02799,P30532
P02800,P35368
P02801,Q05486
P02802,P00915
P02803,P62714
P02804,O75762
P02805,P00736
P02806,P34969
P02807,P31358
P02808,O60706
P02809,P0A3M6
P02810,P48169
P02811,P68344
P02812,P18825
P02813,P01137
P02814,O60494
P02815,Q16445
P02816,P18825
P02817,P28908
P02818,O14764
P02819,P02747
P02820,P18825
P02821,P0C0X2
P02822,Q05586
P02823,P28223
P02824,P23458
P02825,P36544
P02826,Q9UKU7
P02827,P43702
P02828,P55011
P02829,Q9NS40
P02830,Q03013
P02831,P05023
P02832,P08183
P02833,P11388
P02834,P08246
P02835,Q9NY47
P02836,P0AF12
P02837,P11388
P02838,P07204
P02839,P51857
P02840,O95838
P02841,P21918
P02842,P08909
P02843,Q04759
P02844,Q70KI2
P02845,Q9Y271
P02846,P11168
P02847,Q8N543
P02848,P44469
P02849,P35348
P02850,P23258
P02851,P30872
P02852,Q49184
P02853,Q14534
P02854,P09063
P02855,P35368
P02856,P35462
P02857,O67135
P02858,P09488
P02859,P35348
P02860,P45877
P02861,Q15759
P02862,Q51504
P02863,P41143
P02864,Q8N8N7
P02865,P35372
P02866,Q08828
P02867,Q12879
P02868,P14218
P02869,Q12809
P02870,P09172
P02871,P11229
P02872,P35367
P02873,P35408
P02874,Q04759
P02875,Q15822
P02876,P08684
P02877,Q03181
P02878,Q9Y5Y9
P02879,P07550
P02880,P52788
P02881,Q08499
P02882,Q14520
P02883,P28335
P02884,P52895
P02885,P20309
P02886,Q8DR59
P02887,P47898
P02888,Q06432
P02889,P78334
P02890,P22459
P02891,P42684
P02892,P17752
P02893,O43497
P02894,P27169
P02895,P11229
P02896,P16109
P02897,P05230
P02898,Q9NYX4
P02899,P08913
P02900,P25092
P02901,P35367
P02902,P49591
P02903,P43155
P02904,Q99062
P02905,O00591
P02906,P78527
P02907,P35354
P02908,P54710
P02909,P14867
P02910,Q9NPA1
P02911,P78508
P02912,P50859
P02913,P31644
P02914,P01178
P02915,Q72547
P02916,Q15125
P02917,Q9UGI6
P02918,Q9BY49
P02919,Q9Y5Y9
P02920,P32238
P02921,P47869
P02922,P08123
P02923,P35367
P02924,P61626
P02925,P43702
P02926,P35869
P02927,Q9Y2D1
P02928,P19652
P02929,P32239
P02930,Q16881
P02931,Q16853
P02932,Q99519
P02933,Q14697
P02934,P07550
P02935,P04629
P02936,P02918
P02937,Q9GZR5
P02938,P12821
P02939,P47895
P02940,P0AD65
P02941,P11586
P02942,P98194
P02943,O24990
P02944,O14764
P02945,P18505
P02946,P08263
P02947,P32297
P02948,P42898
P02949,P08172
P02950,P05981
P02951,P04293
P02952,P00451
P02953,P21728
P02954,Q05603
P02955,Q9Y2J8
P02956,P51160
P02957,P00918
P02958,P10636
P02959,Q15822
P02960,P51681
P02961,O76074
P02962,P07947
P02963,P08172
P02964,P16444
P02965,P08506
P02966,P42263
P02967,Q9H244
P02968,Q14500
P02969,P49286
P02970,P41145
P02971,O00763
P02972,P31358
P02973,A8MPY1
P02974,P21266
P02975,Q9UK17
P02976,Q05932
P02977,Q13882
P02978,Q8MU52
P02979,Q2TU84
P02980,O60733
P02981,P18505
P02982,P47871
P02983,O60427
P02984,O15374
P02985,P08173
P02986,P25100
P02987,P04234
P02988,P03372
P02989,P18405
P02990,Q8N1C3
P02991,P15144
P02992,Q16515
P02993,O14717
P02994,Q7CRA4
P02995,P05106
P02996,P55017
P02997,Q6UX15
P02998,P35462
P02999,Q9BTZ2
P03000,P08173
P03001,Q9NR96
P03002,P18405
P03003,P07949
P03004,O15399
P03005,P12235
P03006,P31645
P03007,Q6TME4
P03008,P07550
P03009,P78508
P03010,P04150
P03011,P20645
P03012,Q9UGM1
P03013,P15382
P03014,O43708
P03015,P10912
P03016,Q72874
P03017,Q8XJ01
P03018,Q13332
P03019,Q16772
P03020,P20309
P03021,P00807
P03022,Q9UHQ9
P03023,P78559
P03024,Q13698
P03025,P08192
P03026,P18507
P03027,O14646
P03028,P00519
P03029,Q16558
P03030,P31645
P03031,Q8IVL5
P03032,P31644
P03033,P77390
P03034,P08173
P03035,P28482
P03036,P15056
P03037,P56696
P03038,P35968
P03039,P45381
P03040,P18505
P03041,O75715
P03042,P35348
P03043,P34972
P03044,P07327
P03045,P08700
P03046,P11678
P03047,P0A7V8
P03048,Q15303
P03049,Q9BW92
P03050,Q9Y5Y9
P03051,P10826
P03052,P08913
P03053,Q01064
P03054,Q15822
P03055,Q9NPA1
P03056,P35367
P03057,P23434
P03058,O43772
P03059,P27907
P03060,Q75Y35
P03061,P31645
P03062,P18505
P03063,O15399
P03064,Q13002
P03065,Q92953
P03066,P48051
P03067,P20586
P03068,Q07699
P03069,Q99643
P03070,P18089
P03071,Q8NFA2
P03072,P23975
P03073,P40238
P03074,P23219
P03075,Q14534
P03076,P10828
P03077,Q07869
P03078,Q53707
P03079,P08908
P03080,P09622
P03081,P18089
P03082,P03956
P03083,P21397
P03084,P41972
P03085,P00915
P03086,P48728
P03087,P23975
P03088,O15382
P03089,Q15111
P03090,P34995
P03091,P06737
P03092,Q07001
P03093,Q9UN88
P03094,Q9Z4P0
P03095,P47869
P03096,P20711
P03097,Q13936
P03098,Q9BY66
P03099,P48169
P03100,P09848
P03101,O00591
P03102,Q9BXI2
P03103,P08243
P03104,P23416
P03105,P11177
P03106,P11137
P03107,P35368
P03108,P22894
P03109,P23415
P03110,P07098
P03111,P08173
P03112,P32322
P03113,P24046
P03114,Q07912
P03115,Q4U2R8
P03116,P00966
P03117,P01374
P03118,O00264
P03119,P08069
P03120,P31645
P03121,P00918
P03122,P35367
P03123,P42971
P03124,P18825
P03125,P18507
P03126,P31644
P03127,P78334
P03128,Q01668
P03129,P18825
P03130,Q8DNB6
P03131,Q9UHI5
P03132,P08588
P03133,Q9Y5Y4
P03134,P43681
P03135,P34741
P03136,P28223
P03137,P15104
P03138,Q9UPY5
P03139,Q99250
P03140,P41231
P03141,P30872
P03142,Q9Y345
P03143,P62745
P03144,P05164
P03145,Q92637
P03146,P34969
P03147,P38484
P03148,P29274
P03149,Q99250
P03150,P18314
P03151,P08173
P03152,Q9UN88
P03153,Q09428
P03154,P07550
P03155,P29466
P03156,P61177
P03157,P10275
P03158,O43570
P03159,P49019
P03160,P06239
P03161,P16444
P03162,P31644
P03163,P08546
P03164,P10826
P03165,Q9Y2I1
P03166,O95180
P03167,Q9LAG2
P03168,P11229
P03169,P0A9P4
P03170,P08588
P03171,P02763
P03172,P25100
P03173,P11836
P03174,Q99707
P03175,P98066
P03176,Q86VB7
P03177,Q14524
P03178,P05164
P03179,Q9Y5N1
P03180,P08908
P03181,P42971
P03182,P41145
P03183,Q56839
P03184,Q04760
P03185,Q9NSD9
P03186,Q15825
P03187,Q92637
P03188,P23416
P03189,Q9UIC8
P03190,Q02750
P03191,P24046
P03192,P78334
P03193,O75493
P03194,P41145
P03195,P47872
P03196,P35462
P03197,O60494
P03198,P16083
P03199,Q9BYV1
P03200,Q9GZZ6
P03201,O95263
P03202,P03372
P03203,P16471
P03204,P08913
P03205,P16444
P03206,P28472
P03207,P22303
P03208,O95573
P03209,O14732
P03210,P02746
P03211,P05230
